ALMA Keyword,Description,Database Table,LMT Keyword,LMT parent
alma_id,ALMA ID,win,,
id,Spectral window ID,win,,
bandnum,Spectral window band number,win,slBand,band
spw,Spectral window name,win,,
nlines,Number of lines,win,,
nsources,Number of sources,win,,
nchan,Number of channels,win,nchan,band
win_peak,Window peak flux,win,,
win_rms,Window RMS noise,win,,
win_snr,Window Signal to noise ratio (peak/rms),win,,
bmaj,Beam major axis,win,beam,band
bmin,Beam minor axis,win,,
bpa,Beam PA,win,,
freqc,Frequency center (GHz),win,frequencyCenter,band
freqw,Frequency width (GHz),win,bandwidth,band
vlsr,LSR Velocity (km/s),win,velocityCenter,band
qagrade,Quality Assurance Grade,win,qaGrade,band
fcoverage,Frequency coverage,win,,
l_win_id,Spectral window ID(L),lines,,
restfreq,Rest frequency,lines,,
formula,Formula,lines,formula,band
transition,Transition,lines,transition,band
velocity,Velocity,lines,,
vmin,Minimum velocity,lines,,
vmax,Maximum velocity,lines,,
mom0flux,Moment zero flux,lines,,
mom1peak,Moment one peak,lines,,
mom2peak,Moment two peak (km/s),lines,,
s_win_id,Spectral Window ID(S),sources,,
l_id,Line ID,sources,,
ra,RA (Degrees),sources,,
dec,Dec (Degrees),sources,,
flux,Flux,sources,,
snr_s,Source Signal to noise ratio,sources,,
peak_s,Source Peak flux,sources,,
smaj,Source major axis,sources,,
smin,Source minor axis,sources,,
spa,Source PA,sources,,
region,Search Region,sources,,
header_key,Key,header,,
header_val,Value,header,,
obs_id,Observation ID string,alma,,
observatory,Observatory,alma,observatory,
obsnum,Observation number,alma,obsnum,
obsnumlist,Observation number list if multiple obsnums,alma,obsnumList,
instrument,Instrument,alma,LMTInstrument,
calibration_level,Calibration Status,alma,calibrationLevel,
obs_goal,Observation Goal,alma,obsGoal,
obs_comment,Observation Comment,alma,obsComment,
target_name,Source name (ALMA),alma,targetName,
s_ra,Right Ascension ,alma,RA,
s_dec,Declination,alma,DEC,
gal_longitude,Galactic Longitude,alma,galLon,
gal_latitude,Galactic Latitude,alma,galLat,
s_velocity,Source Velocity (km/s),alma,velocity,
spatial_resolution,Angular resolution (arcsec),alma,,
spatial_scale_max,Largest angular scale (arcsec),alma,,
s_fov,Field of view (arcsec),alma,,
frequency,Frequency (GHz),alma,,
bandwidth,Bandwidth (Hz),alma,,
spectral_resolution,Spectral resolution (KHz),alma,,
band_list,Band,alma,,
t_min,Observation date,alma,obsDate,
t_exptime,Integration time (s),alma,intTime,
pol_states,"Polarisation type (Single, Dual, Full)",alma,,
sensitivity_10kms,Line sensitivity (10 km/s) (mJy/beam),alma,lineSens,band
cont_sensitivity_bandwidth,Continuum sensitivity (mJy/beam),alma,contSens,band
pvw,Water vapour (mm),alma,,
proposal_id,Project code,alma,projectID,
obs_title,Project title,alma,projectTitle,
obs_creator_name,PI name,alma,PIName,
proposal_authors,Proposal authors,alma,,
project_abstract,Project abstract,alma,,
publication_count,Publication count,alma,,
science_keyword,Science keyword,alma,,
scientific_category,Scientific category,alma,,
bib_reference,Bibcode,alma,,
pub_title,Title,alma,,
first_author,First author,alma,,
authors,Authors,alma,,
pub_abstract,Abstract,alma,,
publication_year,Year,alma,,
